Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000823,Source of Variant Associations (GWAS),20373.0,,,,,European,France,"U.S., Germany, U.K., France",,,,GCST001025,21460840,,GERAD|EADI|ADNI|TGEN,
PGS000823,Source of Variant Associations (GWAS),15675.0,,,,,European,,"U.S., Netherlands, Greece, Canada, Germany, U.K.",,,,GCST001026,21460841,,ACTS|ADC|ADNI|GENADA|UM/VU/MSSM|MIRAGE|NIA-LOAD|TGEN,Alzheimer Disease Genetics Consortium (ADGC)
PGS000823,Source of Variant Associations (GWAS),25610.0,,,,,"European, Hispanic or Latin American",,,,,,GCST000682,20460622,,AGES|CHS|FHS|RS|TGEN|MAYO,
PGS000823,Source of Variant Associations (GWAS),7360.0,,,,,European,,France,,,,GCST000480,19734903,,3C,"Cases were obtained from  Bordeaux, Dijon, Lille, Montpellier, Paris and Rouen"
PGS000823,Source of Variant Associations (GWAS),11789.0,,,,,European,,"U.S., U.K.",,,,GCST000479,19734902,,MRC|ART|WASHU|UCL-PRION|UCL-LASER|NIMH|Bonn|MAYO|B58C|CORIELL|HNR|ALS|KORA,
PGS000823,Source of Variant Associations (GWAS),12438.0,,,,,European,,Iceland,,,,GCST001743,23150908,,RS|UM|deCODE|TOP,"Additional cases and controls were obtained from Icelandic, Norwegian and Emory populations."
PGS000823,Source of Variant Associations (GWAS),143878.0,29054.0,114824.0,,,"European, NR",,"Norway, NR, Iceland","European, NR",,,,25862742,,EADI|ADGC|CHARGE|GERAD|DemGene|deCODE,
PGS000823,Source of Variant Associations (GWAS),34152.0,,,,,Not reported,,,,,,GCST002817,25778476,,ADGC|EADI|GERAD|CHARGE|AGES|CHS|FHS|RS,International Genomics of Alzheimer’s Project (IGAP) Consortium
PGS000823,Source of Variant Associations (GWAS),32598.0,12967.0,19631.0,,,"European, NR",,"France, Iceland, Germany, Netherlands, Norway, USA, Spain","European, NR",,,,24041969,,,
PGS000823,Source of Variant Associations (GWAS),2199.0,1092.0,1107.0,,,"European, NR",,"UK, USA, Portugal, Canada","European, NR",,,,23150934,,,
PGS000824,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,,,GCST002222,24097068,,,
PGS000825,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002223,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000826,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002216,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000827,Source of Variant Associations (GWAS),142762.0,,,,,European,,"Canada, Germany",,,,GCST004065,25673412,,BLSA|COROGENE|DESIR|EGCUT|ERF|FamHS|GOOD|HBCS|HERITAGE|HYPERGENES|InCHIANTI|LifeLines|LLS|LOLIPOP|PREVEND|PROCARDIS|QFS|RISC|RS|SHIP|SORBS|TRAILS|TwinGene|TwinsUK|WGHS|YFS|AGES|AMISH|ARIC|B58C|BRIGHT|CHS|CoLaus|deCODE|DGI|EPIC-Obesity|Fenland|FHS|GENMETS|NTR|NESDA|ORCADES|VIS|WTCCC|T1DGC|HealthABC|KORA,
PGS000828,Source of Variant Associations (GWAS),142762.0,,,,,European,,"Canada, Germany",,,,GCST004065,25673412,,BLSA|COROGENE|DESIR|EGCUT|ERF|FamHS|GOOD|HBCS|HERITAGE|HYPERGENES|InCHIANTI|LifeLines|LLS|LOLIPOP|PREVEND|PROCARDIS|QFS|RISC|RS|SHIP|SORBS|TRAILS|TwinGene|TwinsUK|WGHS|YFS|AGES|AMISH|ARIC|B58C|BRIGHT|CHS|CoLaus|deCODE|DGI|EPIC-Obesity|Fenland|FHS|GENMETS|NTR|NESDA|ORCADES|VIS|WTCCC|T1DGC|HealthABC|KORA,
PGS000829,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,NR,,,,GCST002783,25673413,,,
PGS000829,Source of Variant Associations (GWAS),236781.0,,,,,European,,NR,,,,GCST002783,25673413,,,
PGS000829,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST002783,25673413,,,
PGS000830,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,NR,,,,GCST002783,25673413,,,
PGS000830,Source of Variant Associations (GWAS),236781.0,,,,,European,,NR,,,,GCST002783,25673413,,,
PGS000830,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST002783,25673413,,,
PGS000831,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,,,GCST002222,24097068,,,
PGS000831,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002223,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000831,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002216,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000832,Source of Variant Associations (GWAS),574306.0,,,,,European,,,,,,GCST009380,30297969,,,
PGS000833,Source of Variant Associations (GWAS),29652.0,,,,,European,,,,,,GCST005536,25751624,,B58C|CBR|T1DGC|UKBS,
PGS000834,Source of Variant Associations (GWAS),4789.0,,,,,European,,"U.S., Austria, Germany, Netherlands, Switzerland, Denmark, Finland, Republic of Ireland, Sweden, U.K., Greece, Italy, Montenegro, Serbia, Spain",,,,GCST005216,24699409,,,
PGS000835,Source of Variant Associations (GWAS),2337.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST004487,28490609,,,
PGS000835,Source of Variant Associations (GWAS),2159.0,,,,,European,,,,,,GCST004487,28490609,,,
PGS000835,Source of Variant Associations (GWAS),332.0,,,,,Native American,,U.S.,,,,GCST004487,28490609,,,
PGS000836,Source of Variant Associations (GWAS),51750.0,,,,,European,,"Finland, Sweden, U.S., Australia, Iceland, Italy, Netherlands, Germany, U.K., Croatia, Switzerland, Spain, France, Denmark",,,,GCST001526,22581228,,,
PGS000837,Source of Variant Associations (GWAS),16753.0,,,,,European,,"Finland, Sweden, U.S., Germany",,,,GCST003659,27416945,,,
PGS000838,Source of Variant Associations (GWAS),51750.0,,,,,European,,"Finland, Sweden, U.S., Australia, Iceland, Italy, Netherlands, Germany, U.K., Croatia, Switzerland, Spain, France, Denmark",,,,GCST001526,22581228,,,
PGS000839,Source of Variant Associations (GWAS),15234.0,,,,,"European, Other",,"Finland, Sweden, U.S., Germany, U.K., Switzerland",,,,GCST000569,20081857,,,
PGS000840,Source of Variant Associations (GWAS),10701.0,,,,,European,,"Finland, Sweden, U.S., Italy, Germany, U.K.",,,,GCST001212,21873549,,,
PGS000841,Source of Variant Associations (GWAS),1276.0,,,,,Hispanic or Latin American,,NR,,,,GCST002783,25673413,,,
PGS000841,Source of Variant Associations (GWAS),236781.0,,,,,European,,NR,,,,GCST002783,25673413,,,
PGS000841,Source of Variant Associations (GWAS),887.0,,,,,African American or Afro-Caribbean,,U.S.,,Body mass index,,GCST002783,25673413,,,metaGRS constituent score name: BMI
PGS000842,Source of Variant Associations (GWAS),142762.0,,,,,European,,"Canada, Germany",,,,GCST002782,25673412,,,
PGS000843,Source of Variant Associations (GWAS),142762.0,,,,,European,,"Canada, Germany",,,,GCST002782,25673412,,,
PGS000844,Source of Variant Associations (GWAS),325153.0,,,,,European,,U.K.,,,,GCST008744,31501611,,,
PGS000845,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,Total cholesterol,,GCST002221,24097068,,,metaGRS constituent score name: TC
PGS000846,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,Total cholesterol,,GCST002221,24097068,,,metaGRS constituent score name: TC
PGS000847,Source of Variant Associations (GWAS),94595.0,,,,,European,,NR,,Total cholesterol,,GCST002221,24097068,,,metaGRS constituent score name: TC
PGS000848,Source of Variant Associations (GWAS),298957.0,,,,,European,,"U.S., Germany, Netherlands, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Greece, Italy",,,,GCST007517,29632382,,,
PGS000849,Source of Variant Associations (GWAS),298957.0,,,,,European,,"U.S., Germany, Netherlands, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Greece, Italy",,,,GCST007517,29632382,,,
PGS000850,Source of Variant Associations (GWAS),298957.0,,,,,European,,"U.S., Germany, Netherlands, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Greece, Italy",,,,GCST007517,29632382,,,
PGS000851,Source of Variant Associations (GWAS),298957.0,,,,,European,,"U.S., Germany, Netherlands, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Greece, Italy",,,,GCST007517,29632382,,,
PGS000852,Source of Variant Associations (GWAS),298957.0,,,,,European,,"U.S., Germany, Netherlands, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Greece, Italy",,,,GCST007517,29632382,,,
PGS000853,Source of Variant Associations (GWAS),298957.0,,,,,European,,"U.S., Germany, Netherlands, Denmark, Estonia, Finland, Iceland, Sweden, U.K., Greece, Italy",,,,GCST007517,29632382,,,
PGS000854,Source of Variant Associations (GWAS),17365.0,,,,,"African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian, NR",,"NR, Iceland, Denmark, Iran, Finland, USA, UK",,,,,30240442,,METSIM|UKB|PHB,"Scores/variants based on a clustering analysis from multiple cohorts, including: Diabetes Genes in Founder Populations (Ashkenazi) study (PMID:11246891)"
PGS000855,Source of Variant Associations (GWAS),17365.0,,,,,"African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian, NR",,"NR, Iceland, Denmark, Iran, Finland, USA, UK",,,,,30240442,,METSIM|UKB|PHB,"Scores/variants based on a clustering analysis from multiple cohorts, including: Diabetes Genes in Founder Populations (Ashkenazi) study (PMID:11246891)"
PGS000856,Source of Variant Associations (GWAS),17365.0,,,,,"African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian, NR",,"NR, Iceland, Denmark, Iran, Finland, USA, UK",,,,,30240442,,METSIM|UKB|PHB,"Scores/variants based on a clustering analysis from multiple cohorts, including: Diabetes Genes in Founder Populations (Ashkenazi) study (PMID:11246891)"
PGS000857,Source of Variant Associations (GWAS),17365.0,,,,,"African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian, NR",,"NR, Iceland, Denmark, Iran, Finland, USA, UK",,,,,30240442,,METSIM|UKB|PHB,"Scores/variants based on a clustering analysis from multiple cohorts, including: Diabetes Genes in Founder Populations (Ashkenazi) study (PMID:11246891)"
PGS000858,Source of Variant Associations (GWAS),17365.0,,,,,"African American or Afro-Caribbean, East Asian, European, Hispanic or Latin American, South Asian, NR",,"NR, Iceland, Denmark, Iran, Finland, USA, UK",,,,,30240442,,METSIM|UKB|PHB,"Scores/variants based on a clustering analysis from multiple cohorts, including: Diabetes Genes in Founder Populations (Ashkenazi) study (PMID:11246891)"
PGS000859,Source of Variant Associations (GWAS),625219.0,,,,,"European, NR",,"U.S., Germany, Netherlands, Switzerland, China, Singapore, Estonia, Sweden, U.K., Italy",,,,GCST008064,31152163,,,
PGS000860,Source of Variant Associations (GWAS),625219.0,,,,,"European, NR",,"U.S., Germany, Netherlands, Switzerland, China, Singapore, Estonia, Sweden, U.K., Italy",,,,GCST008064,31152163,,,
PGS000861,Source of Variant Associations (GWAS),547361.0,,,,,European,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000861,Source of Variant Associations (GWAS),6795.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000861,Source of Variant Associations (GWAS),6324.0,,,,,East Asian,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000861,Source of Variant Associations (GWAS),2335.0,,,,,South Asian,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000861,Source of Variant Associations (GWAS),1442.0,,,,,Hispanic or Latin American,,,,,,GCST008790,31511532,,AA-DHS|ADVANCE|AGES|AMISH|ARIC|CHRIS|CHS|deCODE|DIACORE|ESTHER|FHS|FINCAVAS|GCKD|Generation_R|JHS|LIFE-Adult|LIFE-Child|LifeLines|Living-Biobank|MESA|MICROS|MyCode|NEO|PIVUS|POPGEN|PREVEND|RS|SCES|SHIP|SIMES|SINDI|SKIPOGH|SORBS|SP2|UKB|ULSAM|BioVU|KORA,
PGS000862,Source of Variant Associations (GWAS),2614.0,,,,,European,,,,,,GCST007290,30487263,,,
PGS000862,Source of Variant Associations (GWAS),1709.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST007290,30487263,,,
PGS000863,Source of Variant Associations (GWAS),250736.0,,,,,Not reported,,U.K.,,,,GCST005196,29212778,,CARDIoGRAMplusC4D,
PGS000864,Source of Variant Associations (GWAS),898130.0,,,,,European,,NR,,Not adjusted for BMI,,GCST009379,30297969,,,
PGS000865,Source of Variant Associations (GWAS),1032.0,,,,,African American or Afro-Caribbean,,USA,,,,,18820647,,DaHS,
PGS000865,Source of Variant Associations (GWAS),696.0,,,,,European,,USA,,,,,18820647,,DaHS,
PGS000865,Source of Variant Associations (GWAS),383.0,,,,,Hispanic or Latin American,,USA,,,,,18820647,,DaHS,
PGS000865,Source of Variant Associations (GWAS),7176.0,,,,,European,,"U.S., Iceland",,,,GCST001008,21423719,,AGES|AMISH|FamHS|FHS,
PGS000865,Source of Variant Associations (GWAS),2448.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000865,Source of Variant Associations (GWAS),1365.0,,,,,European,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000865,Source of Variant Associations (GWAS),753.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000865,Source of Variant Associations (GWAS),141.0,,,,,Not reported,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000865,Source of Variant Associations (GWAS),2138.0,,,,,European,,"Germany, U.K., Switzerland, Austria",,,,GCST003153,26482880,,,
PGS000865,Source of Variant Associations (GWAS),1326.0,,,,,East Asian,,Japan,,,,GCST001928,23535911,,,
PGS000865,Score Development/Training,2736.0,,,,,"European, African American or Afro-Caribbean, Hispanic or Latin American",,USA,,,,,,,DaHS,
PGS000866,Source of Variant Associations (GWAS),1032.0,,,,,African American or Afro-Caribbean,,USA,,,,,18820647,,DaHS,
PGS000866,Source of Variant Associations (GWAS),696.0,,,,,European,,USA,,,,,18820647,,DaHS,
PGS000866,Source of Variant Associations (GWAS),383.0,,,,,Hispanic or Latin American,,USA,,,,,18820647,,DaHS,
PGS000866,Source of Variant Associations (GWAS),7176.0,,,,,European,,"U.S., Iceland",,,,GCST001008,21423719,,AGES|AMISH|FamHS|FHS,
PGS000866,Source of Variant Associations (GWAS),2448.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000866,Source of Variant Associations (GWAS),1365.0,,,,,European,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000866,Source of Variant Associations (GWAS),753.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000866,Source of Variant Associations (GWAS),141.0,,,,,Not reported,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000866,Source of Variant Associations (GWAS),2138.0,,,,,European,,"Germany, U.K., Switzerland, Austria",,,,GCST003153,26482880,,,
PGS000866,Source of Variant Associations (GWAS),1326.0,,,,,East Asian,,Japan,,,,GCST001928,23535911,,,
PGS000866,Score Development/Training,631.0,,,,,European,,Italy,,"All individuals were identified as being morbidly obese, defined by the presence of a body mass index ≥ 40 kg m−2 or ≥35 kg m−2 in patients with metabolic comorbidities (type 2 diabetes, dyslipidemia or arterial hypertension).",,,,,LiverBC,
PGS000867,Source of Variant Associations (GWAS),53862.0,,,,,European,,U.K.,,,,GCST002083,23817569,,ALSPAC|23andMe,
PGS000868,Source of Variant Associations (GWAS),898130.0,,,,,European,,,,,,GCST009379,30297969,,deCODE|DGDG|DGI|EGCUT|EPIC|FHS|FUSION|GCKD|GENOA|GERA|GoDARTS|GOMAP|TEENAGE|HPFS|KORA|MESA|MGI|NHS|PIVUS|PROSPER|RS|UKB|WTCCC|METSIM|BioMe,EPIC: EPIC-InterAct study
PGS000869,Source of Variant Associations (GWAS),29652.0,,,,,European,,,,,,GCST005536,25751624,,B58C|CBR|T1DGC|UKBS,
PGS000870,Source of Variant Associations (GWAS),5740.0,1341.0,4399.0,47.04,"{'estimate_type': 'mean', 'estimate': 20.0, 'unit': 'years'}",Not reported,,"Canada, USA, France",,"All individuals had cystic fibrosis with either 2 severe CFTR mutations and/or clinically diagnosed exocrine pancreatic insufficiency. Cases are individuals with cystic fibrosis related diabetes (CFRD).Phenotypes were obtained from extracted medical charts and CF Foundation Patient Registry through 2011. CFRD was defined by clinician diagnosis of diabetes plus insulin treatment for at least 1 year. The onset of CFRD was defined as the date at which insulin was started, if it was subsequently continued for at least 1 year. In approximately 50% of the participants, independent laboratory data (such as oral glucose tolerance test or hemoglobin A1c) were able to independently confirm the diagnosis of CFRD. Diabetes data were censored at the last clinic visit or date of solid organ transplant.",,,31697830,,JHU|CGS|CWRU|UNC|FrGMC,
PGS000871,Source of Variant Associations (GWAS),159208.0,,,,,European,,"U.S., France, Germany, Netherlands, Estonia, Finland, Sweden, U.K., NR",,,,GCST004773,28566273,,ARIC|deCODE|DGDG|DGI|EGCUT|EPIC|FHS|FUSION|GoDARTS|HPFS|KORA|NHS|PIVUS|RS|ULSAM|WTCCC|BioMe,"EPIC: EPIC-InterAct study, EGCUT: EGCUT-370, EGCUT-OMNI"
PGS000872,Source of Variant Associations (GWAS),1032.0,,,,,African American or Afro-Caribbean,,USA,,,,,18820647,,DaHS,
PGS000872,Source of Variant Associations (GWAS),696.0,,,,,European,,USA,,,,,18820647,,DaHS,
PGS000872,Source of Variant Associations (GWAS),383.0,,,,,Hispanic or Latin American,,USA,,,,,18820647,,DaHS,
PGS000872,Source of Variant Associations (GWAS),7176.0,,,,,European,,"U.S., Iceland",,,,GCST001008,21423719,,AGES|AMISH|FamHS|FHS,
PGS000872,Source of Variant Associations (GWAS),2448.0,,,,,African American or Afro-Caribbean,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000872,Source of Variant Associations (GWAS),1365.0,,,,,European,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000872,Source of Variant Associations (GWAS),753.0,,,,,Hispanic or Latin American,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000872,Source of Variant Associations (GWAS),141.0,,,,,Not reported,,U.S.,,,,GCST010096,24531328,,DaHS,
PGS000872,Source of Variant Associations (GWAS),2138.0,,,,,European,,"Germany, U.K., Switzerland, Austria",,,,GCST003153,26482880,,,
PGS000872,Source of Variant Associations (GWAS),1326.0,,,,,East Asian,,Japan,,,,GCST001928,23535911,,,
PGS000872,Source of Variant Associations (GWAS),46544.0,,,42.0,"{'estimate_type': 'median', 'estimate': 63.0, 'interval': {'type': 'iqr', 'lower': 50.0, 'upper': 74.0}, 'unit': 'years'}",European,,,,,,,29562163,,MyCode,This dataset was used to source rs72613567 (HSD17B13) for PRS-5
PGS000872,Score Development/Training,2736.0,,,,,"European, African American or Afro-Caribbean, Hispanic or Latin American",,USA,,,,,29280273,,DaHS,This dataset was used to obtain effect weights for 4 of the 5 SNPs within PRS-5
PGS000872,Score Development/Training,2532.0,,,,,Not reported,,,,,,,,,,This dataset was used to obtain the effect weight for rs72613567 (HSD17B13) within PRS-5
PGS000873,Source of Variant Associations (GWAS),139274.0,,,,,European,,"Canada, U.S., Australia, Belgium, France, Germany, Netherlands, Israel, Belarus, Poland, Russian Federation, Denmark, Finland, Norway, Sweden, U.K., Greece, Italy, Spain, The former Yugoslav Republic of Macedonia, NR",,,,GCST004988,29059683,,,
PGS000874,Source of Variant Associations (GWAS),17691.0,,,,,European,,"Australia, U.K., U.S.",,,,GCST004146,28165464,,UK-CLL|ATBC|CPSII|EPIC|HPFS|MCCS|NHS|NYU-WHS|PLCO|BCCA|Italian_GxE|NCI-SEER|NSW|SCALE|UCSF2|Yale|ENGELA|EpiLymph|MAYO|MSKCC|UTAH|UCSF,Additional cases and controls were obtained from the Genetic Epidemiology of CLL (GEC) Consortium
PGS000875,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002222,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,Summary statistics from the Global Lipid Genome Consortium were used to identify SNPs.
PGS000875,Score Development/Training,2197.0,,,49.0,"{'estimate_type': 'mean', 'estimate': 60.0, 'variability_type': 'sd', 'variability': 11.5, 'unit': 'years'}",European,,USA,,,,,,,eMERGE,
PGS000876,Source of Variant Associations (GWAS),43708.0,13831.0,29877.0,40.67,,European,,,,Cases included individuals with Alzheimer's disease.,,,24162737,,eMERGE|ADC|ADNI|GSK|NIA-LOAD|MAYO|MIRAGE|ROSMAP|TGEN|UMVUMSS|WASHU|CHARGE|AGES|CHS|FHS|RS|EADI,
PGS000877,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002223,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000877,Source of Variant Associations (GWAS),94595.0,,,,,European,,,,,,GCST002216,24097068,,AGES|ARIC|GenomEUtwin|BLSA|B58C|CHS|CoLaus|KORA|EPIC-Norfolk|Fenland|InCHIANTI|LOLIPOP|FINRISK|NFBC|RS|SUVIMAX|BRIGHT|DGI|FHS|FUSION|GENMETS|MedSTAR|PennCATH,
PGS000877,Source of Variant Associations (GWAS),108557.0,,,,,European,,"UK, USA, Sweden, Italy, Greece, Netherlands, Germany, Finland, France, Ireland",,,,,22885924,,Fenland|Ely|AMISH|ULSAM|PIVUS|STR|SCARFSHEEP|SardiNIA|THISEAS|AMC-PAS|Whitehall|FIN-D2D|DPS|FUSION|METSIM|DIAGEN|DESIR|ORCADES|DILGOM|FINRISK|PROSPER|NFBC|GoDARTS|Leipzig_Adults|Leipzig|LURIC|TRAILS|DRS_EXTRA|KORA,
